"VBELN";"ERDAT";"ERNAM";"VKORG";"KUNNR";"POSNR";"ARKTX";"NETWR";"WAERK";"KWMENG"
"10000";"2007-04-15 00:00:00.000000000";"MAASSBERG";"1000";"2004";"10";"Sunny Extrem";"54731.4E0";"EUR";"57.0E0"
"10002";"2007-04-20 00:00:00.000000000";"MAASSBERG";"1000";"2000";"10";"Pumpe PRECISION 102";"78964.6E0";"EUR";"26.0E0"
"10002";"2007-04-20 00:00:00.000000000";"MAASSBERG";"1000";"2000";"20";"Pumpe PRECISION 104";"92215.8E0";"EUR";"27.0E0"
"10002";"2007-04-20 00:00:00.000000000";"MAASSBERG";"1000";"2000";"30";"Pumpe PRECISION 103";"106348.8E0";"EUR";"32.0E0"
"10002";"2007-04-20 00:00:00.000000000";"MAASSBERG";"1000";"2000";"40";"Pumpe Standard IDESNORM 100-402";"226163.4E0";"EUR";"71.0E0"
"10003";"2007-04-20 00:00:00.000000000";"MAASSBERG";"1000";"1321";"10";"Pumpe PRECISION 101";"115205.6E0";"EUR";"43.0E0"
"10009";"2007-04-22 00:00:00.000000000";"OBERBOERSCHG";"2400";"2401";"10";"Pump PRECISION 102";"70200.0E0";"EUR";"27.0E0"
"10010";"2007-04-22 00:00:00.000000000";"OBERBOERSCHG";"2400";"2401";"10";"Pump PRECISION 103";"69000.0E0";"EUR";"23.0E0"
"10011";"2007-04-22 00:00:00.000000000";"OBERBOERSCHG";"2400";"2401";"10";"Pump PRECISION 104";"64050.0E0";"EUR";"21.0E0"
"10012";"2007-04-22 00:00:00.000000000";"OBERBOERSCHG";"2400";"2402";"10";"Pump PRECISION 102";"65000.0E0";"EUR";"25.0E0"
"10013";"2007-04-22 00:00:00.000000000";"OBERBOERSCHG";"2400";"2402";"10";"Pump PRECISION 103";"75000.0E0";"EUR";"25.0E0"
"10014";"2007-04-22 00:00:00.000000000";"OBERBOERSCHG";"2400";"2402";"10";"Pump PRECISION 104";"57950.0E0";"EUR";"19.0E0"
"10015";"2007-04-22 00:00:00.000000000";"OBERBOERSCHG";"2500";"2502";"10";"Pump PRECISION 102";"72000.0E0";"EUR";"24.0E0"
"10016";"2007-04-22 00:00:00.000000000";"OBERBOERSCHG";"2500";"2502";"10";"Pump PRECISION 103";"91800.0E0";"EUR";"27.0E0"
"10017";"2007-04-22 00:00:00.000000000";"OBERBOERSCHG";"2500";"2502";"10";"Pump PRECISION 104";"69000.0E0";"EUR";"20.0E0"
