Products[1];Area[1,Country];Regions[2,Country];Country[3];Text[ATTR,3,Country];Pos;Day[DATE,dd.MM.yyyy];Units[MES];Cost of Sales[MES];column[MES,Turnover]
Desktop Pro;Europe;East;Czech Republic;East;2;13.05.2010;1948;9634.09;10547.8
Desktop L;Europe;West;Netherlands;West;3;01.05.2012;2249;8897.85;11363.9
Desktop L;Europe;West;United Kingdom;West;4;23.02.2011;3002;12142.7;16502.5
Desktop Pro;Europe;South;Italy;South;5;13.01.2013;2130;9750.5;11525.4
Desktop Pro XL;Europe;East;Poland;East;6;09.08.2011;4930;20392.1;22393.9
Desktop L;Europe;West;Germany;West;7;09.10.2010;60675;25417.0422;29737.2141
Desktop L;Europe;North;Finland;North;8;09.10.2010;1113;4428.96;5133.6
Desktop Pro;Europe;West;United Kingdom;West;9;29.11.2012;4434;19224.1;21459.8
Desktop L;Europe;West;France;West;10;24.12.2012;6647;31170.5;30265.7
Desktop Pro;Europe;North;Denmark;North;11;09.10.2010;1171;5033.25;5700.78
Desktop Pro XL;Europe;North;Norway;North;12;13.05.2010;1702;7279.84;8297.25
Desktop L;Europe;South;Portugal;South;13;09.10.2010;1622;7203.11;8603.11
Desktop Pro;Europe;East;Slovakia;East;14;24.12.2012;317773;1455.37;1452.79
Desktop L;Europe;East;Austria;East;15;29.11.2012;1523;6762.41;7470.72
Desktop L;Europe;West;Belgium;West;16;13.07.2010;4989;23615.5;26069.7
Desktop Pro;Europe;West;Ireland;West;17;23.04.2011;810454;3374.92;4333.42
Desktop Pro;Europe;South;Italy;South;18;23.02.2011;6378;30188.4;28799.2
Desktop L;Europe;East;Czech Republic;East;19;13.07.2010;6070;23479.8;30219.5
Desktop Pro;Europe;West;United Kingdom;West;20;17.07.2010;2596;12121.4;13836
Desktop L;Europe;South;Spain;South;21;13.05.2010;8147;34608.7;38219.1
Desktop Pro;Europe;West;Netherlands;West;22;23.04.2011;3260;14635.4;16854.2
Desktop L;Europe;West;Belgium;West;23;19.08.2010;3500;15747.3;18845.1
Desktop L;Europe;West;Luxembourg;West;24;29.11.2012;666982;3308.2;3160.38
Desktop L;Europe;West;Netherlands;West;25;09.08.2011;2634;11266.1;13347.3
Desktop L;Europe;East;Austria;East;26;17.07.2010;1740;7677.12;8243.36
Desktop Pro XL;Europe;West;United Kingdom;West;27;13.01.2013;3435;17289.1;18563.7
Desktop L;Europe;East;Poland;East;28;29.11.2012;1890;7827.19;9708.94
Desktop L;Europe;East;Czech Republic;East;29;19.08.2010;943988;4202.71;4546.25
Desktop Pro XL;Europe;East;Austria;East;30;13.07.2010;1146;5490.36;5324.44
Desktop Pro;Europe;West;France;West;31;01.05.2012;7431;35665.9;37770.3
Desktop Pro XL;Europe;North;Denmark;North;32;17.07.2010;978457;4841.82;4897.47
Desktop Pro XL;Europe;North;Denmark;North;33;29.11.2012;1756;7753.92;8016.36
Desktop Pro XL;Europe;West;Ireland;West;34;01.05.2012;468578;1862.9;2367.76
Desktop Pro XL;Europe;West;Switzerland;West;35;09.10.2010;2215;10288.5;10681.2
Desktop Pro XL;Europe;East;Austria;East;36;19.08.2010;6741;32844.3;36249
Desktop L;Europe;West;Luxembourg;West;37;17.07.2010;774;3489.02;3787.97
Desktop Pro XL;Europe;South;Spain;South;38;23.04.2011;4524;19264.2;24654.8
Desktop Pro XL;Europe;East;Poland;East;39;13.07.2010;1482;6982.22;7154.73
Desktop L;Europe;East;Poland;East;40;17.07.2010;1743;8313.3;9123.15
